Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
3634,3,818A4418B6A32037D7DC4C5F24771B1A2833E375,Email,.msg,136704,6634,4,English
3641,1,95C6316495DDEFA9B1F26F522A982B523A1100F3,Email,.msg,183808,1756,1,English
3659,5,F35D4A76BC6FCC8D39FD3598AAF1F130F477CF88,Email,.msg,44544,6129,4,English
3663,2,823A81F002CF0AB250B54E339CD193CFAF5E7505,Email,.msg,148992,19823,8,English
3678,1,12C2DF0825D058445C4686194A8643D52F8E21C1,Email,.msg,46592,3408,2,English
3680,1,B50056DC7E9DDC1B389A71C3F457CE9716290136,Email,.msg,33792,2367,2,English
3702,7,D8CF6BCA090BF249BC8687CA563CC5FE3DC193DC,Email,.msg,130560,6869,4,English
3710,3,083F3E500E351FA1F20C7E3EDB2172574C045933,Email,.msg,201728,7212,5,English
3752,4,D8E1A7DD38F6E0565B1D913C4852AD6490FED63D,Email,.msg,128512,5302,2,English
3759,3,F3B6748E40573654E4D0FCB78625C35825DFA416,Email,.msg,51712,3762,2,English
3770,3,E360FBB6FE3E3B53E91BD5A01FAD3DC63C8FF030,Email,.msg,77824,7566,4,English
3808,2,405ACBD4DAB5292C59A33226DACFBDE30FFC637E,Email,.msg,342528,2379,2,English
3850,5,DB2F1175A5A74F443DE343012C8286E6C7FDDF9A,Email,.msg,77824,4038,3,English
3852,7,5FFDB4DB34E12F28139597F0CA9E05E48BBE9219,Email,.msg,150528,9040,4,English
3874,9,22E781E0E364B5F5BDCABD460C39FFDD478307AA,Email,.msg,54272,9827,6,English
3968,1,DDB897A9177CAFF27455784660CD882D4BAB4F70,Email,.msg,57344,4247,3,English
3983,7,DDF5FB7C9237D7E5A7EEAC4EB7A7070B50DE4417,Email,.msg,125440,5381,3,English
4009,2,695F2CB02EEE31E96AEF9E322320E44D48B7298D,Email,.msg,40960,5141,3,English
4028,2,DEAC9E6E5EF776C2833D9729F46DF5A7D374A9FF,Email,.msg,105472,5730,4,English
4074,1,A571D86952E0A119E065B0E7DDFDAA0B8CDD35CE,Email,.msg,134144,2733,2,English
4077,2,38A2C5CBA2E922B1A7DBD8C65BF1C3B49018C2F3,Email,.msg,113152,2615,2,English
4082,7,A879309C0C4236C80EF43884D0063435B943F4CA,Email,.msg,116736,16621,6,English
4085,1,A920DB81D8A1FEAE18E084179EC1558E3887BC93,Email,.msg,79360,1466,1,English
4096,1,3B1585B60BF2AB4B5A05F04EB958D5F08BFD739D,Email,.msg,36864,1835,1,English
4102,1,D3F2B6EE8C612336F10E441D7605B86717540ECF,Email,.msg,164864,1775,1,English
4122,1,AD78D9F81D254B4890DF6A10C63169833701C7F1,Email,.msg,40448,2251,2,English
4220,3,1551081D78835C3B335B76642FEBEBB5445B6360,Email,.msg,143872,12001,6,English
4249,2,6CF4EB9708238ABC051877C39D870B5C1BD51895,Email,.msg,84992,1789,2,English
4353,11,1D3408439C293885455C6F0B3F4558802289E717,Email,.msg,178688,8360,5,English
4453,2,6DBFEA495A216ACCFD1554EB989507895BB2742A,Email,.msg,166400,4096,3,English
4513,2,6F1454DFC17B5F4AC9BEB5584C2D0A88139CF6C5,Email,.msg,169472,6879,4,English
5257,5,D3821C5D61347A0E64C681AA0BF0A55D4A72CA8D,Email,.msg,134144,7408,5,English
5264,2,D4471CFCC4E25F15C6A1EA4CE79086CD81CEF91E,Email,.msg,67584,3169,2,English
5302,5,D630EABA378495DDBFDB390B499153E606FBBCEC,Email,.msg,136192,13135,6,English
5312,7,D6374864EEF0684950F0251AA8D5B78FFAD8F721,Email,.msg,128000,9260,4,English
5319,3,D7535C4201BC710F0391F91787E34F942AEF7F30,Email,.msg,44544,6005,4,English
5342,2,D890D94719E4941B9C4F5B06FC1F6F51BF72874D,Email,.msg,45568,2067,2,English
5364,1,01ECA46A7EC6056B923BC6E82905B4770A978415,Email,.msg,131584,2480,2,English
5392,1,DA125A9BB0E6842E65D0D236BB4973BABEDC1A61,Email,.msg,96768,4018,4,English
5453,2,DAD631534582281BB8435CF7C9F4E6D87A608CF8,Email,.msg,74240,2897,2,English
5462,14,309B2B8DE90C9ABFE919D4B4E0318D679F4FB9AE,Email,.msg,292352,13556,8,English
5472,6,DB10B724B82681C31AC2EC95EA3C40D3FF9878A5,Email,.msg,95744,17461,7,English
5544,8,1AA55F3459D4638DEE0AF24E469595D24C392A2A,Email,.msg,116736,15296,9,English
5689,4,7EDC1CA36B91C8F879A6FDE90951911CCDABC5D5,Email,.msg,195072,14888,9,English
5754,2,80EDFCF23BC294C19F2E1DC0AB36960E682ACFC5,Email,.msg,94720,3702,3,English
5884,7,873BEB6AC33F724E9FDFD87EA5A0C911699BB1D2,Email,.msg,176128,4194,3,English
5888,1,29F860B8027748B7194C65A7E3AE59F0257C5FF5,Email,.msg,91648,1912,2,English
5897,1,35EAE09DEDE0080CAEF19630398F22EE04CAAAF7,Email,.msg,1706496,4908,4,English
5948,1,3D7E572BB617B0DB408290E1C48CEE074DF23087,Email,.msg,34816,3742,2,English
5952,7,88E575DCCF9888050AA9628E599FE5864770E9CB,Email,.msg,56832,8945,4,English
5957,2,2FFD23E776744AFA5E54269D129AA016C940B15E,Email,.msg,938496,4015,3,English
5969,3,26D930AC7FA25A44E0A6217D0F315480DA62081E,Email,.msg,111616,7849,4,English
5974,3,631ABCABFE5E2548285D453540D5A6A8FD9A5069,Email,.msg,65024,4811,4,English
6006,3,32A5BC577957260D0A6F5DFBD6EA33505258088F,Email,.msg,208896,1620,1,English
6015,5,642929BDD4A8A665AAB907E23A85F359E32022AD,Email,.msg,181760,19144,7,English
6085,2,7541B4F7012CA9895A88DCA66679441F55A13690,Email,.msg,79872,4616,2,English
6097,3,9F3955D1D633E93413B4663725552C292FB9030D,Email,.msg,47616,2832,2,English
6117,2,7569977E4526BA717B39FB93F4AC90AA4C13425B,Email,.msg,77312,3935,2,English
6122,5,277606A7F4ACCD38B998B8809D3265E416D97AF2,Email,.msg,124928,12189,6,English
6145,3,760679B80AAC86CC9E2F868A477C98E5262D3A5F,Email,.msg,100352,6427,4,English
6155,1,EC6D0E7721C964F16DE3529CB95B4EBE4A562E06,Email,.msg,69120,2765,2,English
6186,2,8E919C3224001F50897DB46BB214BED0603059CA,Email,.msg,98304,3607,2,English
6236,3,EE9328285E6C5B71D85BC135B3A4DA3A865AC74B,Email,.msg,178688,8882,5,English
6272,5,EF9121435FE2040069AAAD2DFF6331C934090F52,Email,.msg,69120,7702,4,English
6297,6,B06A9637D4FC565B78DB1D4E238AE6DD22B58002,Email,.msg,42496,5180,4,English
6332,5,B0D8A7187877A3FB44D57FC5771BD204366266DC,Email,.msg,192512,22192,9,English
6352,1,AB1B1ECF8E4AA5B599D6A9BE5599AD885935552A,Email,.msg,57856,4029,3,English
6366,4,B0DEEE9E119748B770C7892E22898A13F94FAAEB,Email,.msg,39424,4267,4,English
6395,1,A40B160AFC5DD237378D76C290804ABE49BAED33,Email,.msg,38912,3809,3,English
6399,2,B1E443D73B3E6A7F096EF6E481C521C5D77702B8,Email,.msg,84480,4173,4,English
